,commentary,target
17,"Ngidi to Kuldeep Yadav, out Caught by Bavuma!! A back-pedalling Bavuma holds onto a screamer and India are losing their way now. Was another slower ball from Ngidi - Kuldeep was early into the lofted drive, chipped it lamely and over extra-cover, Bavuma ran back, kept his eyes on the ball and completed a tumbling catch. Landed on his left shoulder and winced, but hasn't caused any damage onto himself. Kuldeep Yadav c Bavuma b Ngidi 0(1)",1
18,"Ngidi to Thakur, out Caught by Maharaj!! That's the wicket South Africa were after - Shardul is livid with himself, was right in the slot, but he didn't get the placement on the drive, hit hard and to the left of mid-off where Maharaj moved across and cusped it neatly. Was pitched up and Shardul went hard on the drive, skewed it slightly and that cost him his wicket. Thakur c Maharaj b Ngidi 33(31) [4s-5]",1
19," Ngidi to Samson, 1 run, much betgter from Ngidi, bowls intgo the pitch and hits Samson high on the bat, off the inner half and bounces to long-on ",0
20," Ngidi to Samson, FOUR, handy boundary for Samson, was almost undone by the slower full-toss which dipped on him, but so does he and manages to wrist it away behind square on the on-side, beat short fine and raced away to the ropes. Good start to the over for India ",1
21," Ngidi to Samson, wide, .. and he starts with a wide, was looking for the slower cutter, but he pushed it well past the tramlines ",0
22," Rabada to Thakur, FOUR, 14 from the over, back of a length and well wide of off, Shardul stands tall and plays a forehand slap, back over the bowler's head and went almost all the way, bounced right in front of the ropes ",1
23," Rabada to Thakur, FOUR, cheeky and four, on a good length and at the stumps, Shardul shuffles across, uses the pace on the ball and then laps it over short fine, bounces away to the ropes ",1
24," Rabada to Thakur, no run, slower short ball outside off, Shardul hops across and only manages a slap straight to extra-cover ",0
25," Rabada to Samson, 1 run, on a good length and just outside off, no room to free his arms and Samson punches it wide of cover for a single ",0
26," Rabada to Thakur, 1 run, on a good length and well wide of off, clattered away square on the off-side for a single ",0
27," Rabada to Thakur, FOUR, .. that's a good start to the over, slower short ball from Rabada, but it's way too short and it's slapped straight of mid-off, bounces away to the ropes ",1
28," Shamsi to Samson, FOUR, 14 off the over, dragged short by Shamsi - Samson rocks back and pummels the pull past square leg, struck with immense power, one bounce and over the ropes ",1
29," Shamsi to Samson, FOUR, much needed boundary for Samson and India, came down the pitch, didn't get to the pitch and ended  up dragging it wide of mid-wicket, but he's struck well enough to bisects the two fielders who convereged across in the deep ",1
30," Shamsi to Samson, 2 runs, flighted delivery around middle and leg, worked in front of square on the on-side and Samson hares back for the second ",0
31," Shamsi to Thakur, 1 run, very full from Shamsi, Shardul was looking to launch it back over the bowler's head, drags a big inside edge to long-on for a single ",0
32," Shamsi to Samson, 1 run, flighted delivery on the leg-stump line, flicked past square leg for a single ",0
33," Shamsi to Samson, 2 runs, tossed up and drfting onto the pads, nudged in front of square on the on-side and Samson comes scampering back for the second, raises his 2nd ODI fifty ",0
34," Ngidi to Thakur, no run, on a good length and just outside off, driven firmly and straight to the fielder at extra-cover, despite that 6, only 8 came off the over ",0
35," Ngidi to Samson, 1 run, short of a good length and just outside off, Samson steers it down towards third man for a single ",0
36," Ngidi to Samson, SIX, cracking shot, tad too short from Ngidi - Samson swivels across and connects the pull sweetly, made a loud noise as it went sailing over the deep mid-wicket boundary. India need many more of these ",1
37," Ngidi to Samson, no run, fuller length delivery on off, Samson leans forward and finds mid-on with the drive ",0
38," Ngidi to Samson, no run, that's cut Samson in half, on a good length and shaping back into the right-hander, bowled with a scrambled seam, nips back in late and burst past Samson's inside edge, didn't miss the off-stump by much ",0
39," Ngidi to Thakur, 1 run, on a good length and well wide of off, Shardul drags the heave through mid-wicket for a single ",0
40," Maharaj to Thakur, 1 run, tossed up on off, Shardul makes room and pushes it in front of backward point for a single ",0
41," Maharaj to Thakur, no run, pushed through around off, Shardul backs away and finds cover with the cut ",0
42," Maharaj to Samson, 1 run, flighted delivery on middle and leg, worked in front of square on the on-side for a single ",0
43," Maharaj to Thakur, 1 run, dropped short and spinning away from the right-hander, Shardul is in no control over the cut, chips it uppishly and through mid-off ",0
44," Maharaj to Samson, 1 run, flighted around middle and leg, Samson stays deep in the crease and works it through mid-wicket ",0
45," Maharaj to Thakur, 1 run, loopy delivery on off, eased down to long-off for a single ",0
46," Parnell to Thakur, 1 run, fuller length delivery outside off, Shardul chips the drive wide of cover for a single ",0
47," Parnell to Samson, 1 run, Parnell shortens the length and angles one back into the right-hander, dabbed down to third man for a single ",0
48," Parnell to Samson, FOUR, cheeky and four, back of a length anbd just outside off, Samson lets the bakll come, opens the face of the bat and then runs it past the keeper, fine and into the ropes ",1
49," Parnell to Samson, no run, short of a good length and well wide of off, Samson went chasing and chops an under-edge on the cut to backward point ",0
50," Parnell to Samson, FOUR, clubbed, effortless from Parnell, spotted the length early, rocked back and pulled this short ball over mid-wicket, one bounce and over the ropes ",1
51," Parnell to Samson, no run, on a good length and angling back into the right-hander, defended to the off-side ",0
52," Shamsi to Samson, 1 run, dropped short by Shamsi, Samson is overeager on the pull, gets a fat top-edge that bounces short of deep mid-wicket ",0
53,"Shamsi to Samson, no run, this looked a lot closer, Shamsi screams an appeal and is turned down - they can't review either. Nicely tossed up and spinning back into the right-hander - Samson pressed his front-foot across and then tried to work it to the on-side, missed and was struck in front of off. Was it straightening? Need to check another replay. The impact is umpire's call, so Samson got a big enough stride to save himself",0
54," Shamsi to Thakur, 1 run, tossed up around off, Shardul presses his front-foot forward on the slog, drags a big inside edge and umpire Anil Kumar Chaudhary has to be quick to move out of the way at square leg ",0
55," Shamsi to Samson, 1 run, Samson gets lucky, came down the pitch and swung across the line - beaten in the flight and he's lucky to have managed an inside edge, else de Kock would have been in play ",0
56," Shamsi to Thakur, 1 run, nicely tossed up on off, Shardul gets close to the ball and drives it down to long-on for a single ",0
57," Shamsi to Samson, 1 run, flighted delivery on the leg-stump line, nudged towards square leg for a single ",0
58," Shamsi to Samson, wide, Shamsi slides one well down leg, called as a wide ",0
59," Parnell to Thakur, no run, Parnell shortens the length outside off, punched off the back-foot to backward point ",0
60," Parnell to Thakur, no run, short of a length and angling back into the right-hander, has Shardul hopping and strikes him high on the thigh-pad ",0
61," Parnell to Samson, 1 run, back of a length and just outside off, dabbed down towards third man for a single ",0
62," Parnell to Samson, no run, short and wide of off, Samson threw his hands on the cut and missed ",0
63," Parnell to Thakur, leg byes, 1 run, half-an-appeal for LBW, but Shardul was struck high on the thigh-pad, was the nip-backer and he was beaten on the inside edge ",0
64," Parnell to Samson, 1 run, back of a length and angling across the right-hander, Samson runs it down towards third man for a single ",0
65,"Shamsi to Thakur, no run, loud loud shout for LBW - Shamsi was screaming and pleading, and he once again convinces Bavuma to review, I'm afraid this looks like a copy of the first review - no bat and UltraEdge confirms it. Onto ball-tracking: The impact is in line and it's spinning down leg - South Africa have burned both reviews. Nicely tossed up and spinning back into the right-hander, Shardul got a bigger stride forward and was beaten on the inside edge. But once again the impact is in front of leg and would've been sliding down",0
66," Shamsi to Samson, 1 run, flighted delivery on middle and leg, Samson tucks it past mid-wicket for a single ",0
67," Shamsi to Samson, FOUR, beautifully played, a little shimmy down the pitch, Samson made room and then drove it it to the left of mid-off. Parnell moved across and then dived over the ball, took some pace off, but it still rolls away to the ropes ",1
68," Shamsi to Samson, no run, flighted delivery on off, Samson gets close to the ball and finds mid-off with the drive ",0
69," Shamsi to Samson, 3 wides, wrong line from Shamsi, pitched outside leg and spun down sharply, no chance for de Kock and the ball is stopped near the ropes, two bonus runs for India ",0
70," Shamsi to Thakur, 1 run, dropped short and just outside off, punched square past cover for a single ",0
71," Shamsi to Thakur, no run, loud shout for LBW, but this could be turning down leg. Shamsi was adamant though and South Africa will review. Think this is doing too much, no bat and UltraEdge confirms it. Onto ball-tracking: The impact in line and it's spinning down leg, the review is lost. Big turn for Shamsi, past Shardul's inside edge as he pressed forward, but the impact was only in front of leg ",0
72," Rabada to Thakur, 1 run, short of a length and just outside off, punched off the back-foot to deep cover ",0
73," Rabada to Thakur, no run, back of a length and just outside off, cut straight to the fielder at backward point ",0
74," Rabada to Thakur, no run, the slower ball bouncer from Rabada, Shardul was way too early on the pull and missed, bounced on its way to the keeper ",0
75," Rabada to Samson, 1 run, back of a length and well wide of off, Samson runs it down towards third man for a single ",0
76," Rabada to Thakur, 1 run, short of a good length and just outside off - Shardul rides the bounce and cuts it in front of cover for a single ",0
77," Rabada to Samson, 1 run, pace off the delivery from Rabada - Samson had to reach out on the hack and drags an inside edge past mid-wicket ",0
78," Rabada to Samson, no ball, short of a good length and angling across the right-hander, Samson was poking away from his body and gets an inside edge past the off-stump. But Rabada has overstepped ",0
79," Shamsi to Thakur, no run, the wrong 'un from Shamsi, Shardul goes right back and then chops it to backward point, wanted a single and is sent back ",0
80," Shamsi to Samson, leg byes, 1 run, Shamsi drifts one down leg, Samson was looking to flick and missed, brushed the pad on its way to short fine ",0
81," Shamsi to Samson, 2 runs, Shamsi has been way too short - Samson swivels across and pulls it past square leg, a sliding save near the ropes and he's back for the second ",0
82," Shamsi to Thakur, 1 run, tossed up around off, Shardul prods forward and skews an inside edge, behind square on the on-side for a single ",0
83," Shamsi to Thakur, FOUR, that had the square leg umpire ducking for cover, a rank half-tracker, dropped half-way short and Shardul swivels across and hammers the pull over square leg ",1
84," Shamsi to Samson, 1 run, flighted delivery on the leg-stump line, punched down to long-on for a single ",0
85," Ngidi to Thakur, FOUR, that's easy runs for Shardul, tad too straight from Ngidi, Shardul shuffles across, gets inside the line and flicks it fine, runs away to the long leg boundary ",1
86," Ngidi to Thakur, no run, short of a good length and wide of off, Shardul throws his bat out on the drive and missed ",0
87," Ngidi to Shreyas Iyer, out Caught by Rabada!! There's the wicket and most probably the game. Ngidi kept hitting the deck hard and the line was also tight. Iyer just couldn't get it away and he perishes trying to play the big shot. This was a short of length delivery and Iyer is deceived by the extra bounce, the pull comes off the higher part of the bat and the ball lobs to mid-on, simple catch to Rabada. Shreyas Iyer c Rabada b Ngidi 50(37) [4s-8] ",1
88," Ngidi to Shreyas Iyer, no run, two dots and Iyer has a wild hack. Ngidi has his hands on his head. Short of length, Iyer swings across the line and is beaten on the outside edge. The length and bounce did not allow him to make the connection ",0
89," Ngidi to Shreyas Iyer, no run, 136.5ks delivery close to off-stump, Iyer angles it with an open bat face to backward point ",0
90," Ngidi to Shreyas Iyer, no run, back of a length around off, Iyer pats it with soft hands in front of backward point ",0
91,"Maharaj to Shreyas Iyer, 1 run, fifty for Iyer. A counterattacking knock and one that India needed badly. He's keeping India in the hunt though the asking rate is close to 10. Flighted delivery around off, Iyer eases a drive down to long-off",0
92," Maharaj to Shreyas Iyer, no run, tossed up on off, Iyer leans forward and blocks it to the leg-side ",0
93," Maharaj to Shreyas Iyer, FOUR, neatly done! Iyer waited for the ball to arrive and played it really late, almost dabbed it off de Kock's gloves, he gets it wide of slip and the ball races away ",1
94," Maharaj to Shreyas Iyer, no run, flighted on middle and leg, Iyer prods forward and defends it back ",0
95," Maharaj to Shreyas Iyer, no run, short and turning big, Iyer was shaping to cut but aborts from the shot, even de Kock has a hard time gloving that ",0
96," Maharaj to Samson, 1 run, flatter and quicker around off, Samson opens the bat face and knocks it square on the off-side ",0
97," Ngidi to Shreyas Iyer, 2 runs, hit the deck delivery and bit of extra bounce, Iyer gets on top and steers it behind square on the off-side, Shamsi is the one near third man and the pair scamper back easily ",0
98," Ngidi to Samson, 1 run, short of length close to off, Samson pats it with soft hands to the right of de Kock and Iyer calls him through ",0
99," Ngidi to Shreyas Iyer, 1 run, 137.4ks back of a length delivery and Iyer punches it to sweeper cover ",0
100," Ngidi to Shreyas Iyer, 2 runs, short and into the body, Iyer swivels and pulls in front of square, he calls for two and gets it comfortably ",0
101," Ngidi to Shreyas Iyer, no run, 136.4ks back of a length around off, Iyer drops it in front of point and wants a single, sent back ",0
102," Ngidi to Shreyas Iyer, no run, 137.3ks fullish delivery and Iyer turns it off the inner half to mid-wicket ",0
103," Maharaj to Samson, no run, maiden! Samson was happy to play Maharaj out. Sliding on with the arm and he misses the tuck, struck high on the pad around leg ",0
104," Maharaj to Samson, no run, slower and spinning away, Samson waits in the crease and directs it to point ",0
105," Maharaj to Samson, no run, attacks the stumps, Samson stays rooted to the crease and defends it with a straight bat ",0
106," Maharaj to Samson, no run, this one turns and keeps low, Samson toe-ends the cut back to Maharaj ",0
107," Maharaj to Samson, no run, spin and bounce. Starts around off-stump and spins away, Samson lets it pass ",0
108," Maharaj to Samson, no run, flighted but skids on after pitching, Samson brings his bat down and keeps it out ",0
109," Ngidi to Shreyas Iyer, 2 runs, short of length around off, Iyer opens the bat face and punches it past backward point, two more ",0
110," Ngidi to Shreyas Iyer, FOUR, that's a gimme from Ngidi and Iyer does not miss out. Half volley on the pads and Iyer picks it nonchalantly with a superb flick shot, sends it flat and on the bounce over deep square leg ",1
111," Ngidi to Shreyas Iyer, no run, 131.3ks back of a length around off, Iyer punches it back to Ngidi and is livid with himself ",0
112," Ngidi to Shreyas Iyer, FOUR, not off the middle but good enough for Iyer. Short and wide outside off, he does not hold back on the cut and throws everything, the top-edge flies fine and beats third man comfortably ",1
113," Ngidi to Shreyas Iyer, no run, 136.2ks hit the deck ball around off, Iyer punches it off the inner half to mid-on ",0
114," Ngidi to Samson, 1 run, 135.7ks back of a length delivery and Samson dabs it down to third man ",0
115," Parnell to Samson, 1 run, shuffles across and tucks the back of a length delivery to deep square leg ",0
116," Parnell to Shreyas Iyer, 1 run, short and bowled into the wicket, Iyer pulls sans timing through mid-wicket and has to settle with a single ",0
117," Parnell to Samson, 1 run, fraction short and outside off, Samson back cuts and Ngidi is brought squarer, just a single ",0
118," Parnell to Samson, no run, 131.9ks fullish delivery outside off, Samson pushes it confidently to cover ",0
119," Parnell to Samson, no run, short and into the wicket, angled in and Samson is cramped for room, he attempts the cut shot and is beaten on the outside edge. Bit of extra bounce as well and that didn't help ",0
120," Parnell to Samson, 2 runs, short of length around off, Samson opens the bat face and steers it to third man, needed a sliding stop from Ngidi and the pair are back for the second ",0
121," Shamsi to Shreyas Iyer, FOUR, hat-trick of boundaries and for the first time in India's innings the crowd are enjoying themselves. Shamsi drags the length short this ball, Iyer waits on the back foot and punches it in front of square, well away from the deep point fielder ",1
122," Shamsi to Shreyas Iyer, FOUR, back to back boundaries. This time Iyer uses his feet, gets to the pitch of the flighted delivery and lofts it with the spin over mid-wicket, one bounce and over the ropes ",1
123," Shamsi to Shreyas Iyer, FOUR, this time off the middle and gets it where he wanted. Iyer sits down and sweeps it backward of square leg. Ngidi was at square leg but he could not get across to make the stop ",1
124," Shamsi to Shreyas Iyer, no run, brilliant stop by Bavuma. Iyer goes for the big sweep shot and drags it off the under-edge to the left of leg slip, Bavuma dives across and makes the save. Iyer quickly gets back into his crease ",0
125," Shamsi to Samson, 1 run, flatter and drifted across, Samson opens the bat face and directs it square of the wicket ",0
126," Shamsi to Shreyas Iyer, 1 run, fraction short and Iyer mistimes the pull in front of square on the leg-side, just a single ",0
127," Parnell to Shreyas Iyer, 1 run, on a length and outside off, Iyer drives on the rise and straight to sweeper cover ",0
128," Parnell to Shreyas Iyer, FOUR, streaky! Another inside edge and this time it wasn't far from the off-stump. Angled outside off and Iyer aims to drive but ends up playing away from the body, the edge missed the off-pole by a whisker and beat a diving de Kock ",1
129," Parnell to Samson, 1 run, fullish delivery outside off, Samson eases the drive to the left of mid-off and crosses over ",0
130," Parnell to Samson, wide, overdoes it this time and angles it too far outside off, Samson ignores and umpire signals a wide ",0
131," Parnell to Samson, no run, full and slanted outside off, teasing Samson and he shoulders arms ",0
132," Parnell to Samson, no run, short of length and bit more bounce, Samson wanted to steer it to third man but chops it onto his body and the ball rolls into the off-side. That could have so easily been chop on no. 3 ",0
133," Parnell to Shreyas Iyer, 3 runs, short and angled across the right hander, Iyer slaps it in front of square past cover and it needed a desperate dive near the rope from Miller to stop the boundary, saved a run ",0
134," Shamsi to Samson, SIX, fabulous shot! Samson uses his feet and gets close to the flighted delivery, then hits it with the spin over mid-wicket and the timing ensures that the ball travels the distance. In fact, replays show it was the googly but Samson got really close to the ball and that allowed him to loft against the turn ",1
135," Shamsi to Shreyas Iyer, 1 run, overpitched outside off, Iyer drives in front of square and it is only a single ",0
136," Shamsi to Shreyas Iyer, no run, jumps out and tries to heave it across the line, gets it off the toe-end onto the pad and the ball drops safely on the leg-side ",0
137," Shamsi to Shreyas Iyer, wide, flighted near leg-stump and turns further down, Iyer happy to let it pass and collect the wide ",0
138," Shamsi to Shreyas Iyer, 2 runs, quicker and flatter immediately, Iyer punches it past cover and scampers back for the second ",0
139," Shamsi to Shreyas Iyer, FOUR, overcooks the flighted delivery and Iyer is quick to pounce, he takes a couple of steps down and slams it straight back over the bowler. Not off the middle but good enough to trickle away ",1
140," Shamsi to Shreyas Iyer, wide, spinning down leg and Iyer has no chance connecting with the flick, wide given ",0
141," Shamsi to Shreyas Iyer, no run, tossed up around off, Iyer triggers forward and back before knocking it to Shamsi ",0
142," Maharaj to Samson, no run, Samson was quick to challenge the decision and that's because he knew there was a bit of wood. Flatter delivery and sliding in with the arm, Samson is caught in the crease and luckily brings his bat down, the inside edge saves him on this occasion ",0
143," Maharaj to Samson, no run, fraction short and turning away, Samson hangs back and directs it to backward point ",0
144," Maharaj to Ishan Kishan, out Caught by Janneman Malan!! Both set batters sent back in successive overs. The South African spinners are casting a web on this batting line-up. But credit to Bavuma for having a leg slip. Kishan comes down the track and is deceived in the air, he tries to fend it away but the ball spins in and takes the inside edge to leg slip, Malan hangs on to the dolly and India slip further. Ishan Kishan c Janneman Malan b Maharaj 20(37) [4s-3] ",1
145," Maharaj to Shreyas Iyer, 1 run, hesitation but no harm done. Turns away big outside off and Iyer eases it towards cover, Bavuma dives and makes a half stop and that allows the pair to cross over comfortably ",0
146," Maharaj to Shreyas Iyer, no run, floated up and Iyer was thinking about the sweep, decides against it and ekes out an inside edge onto the pad ",0
147," Maharaj to Ishan Kishan, 1 run, comes down the track and whips it past Bavuma, but straight to deep mid-wicket ",0
148," Shamsi to Shreyas Iyer, no run, drifts it across the right hander, Iyer tries to ease it through the off-side and is beaten on the outside edge ",0
149," Shamsi to Shreyas Iyer, no run, tossed up on off, Iyer leans forward and works it to mid-wicket ",0
150," Shamsi to Shreyas Iyer, wide, spinning big down leg and Iyer has no chance of playing that, wide called ",0
151," Shamsi to Gaikwad, out Stumped!! Shamsi strikes in his first over. Gaikwad's resistance has finally come to an end. The pressure was telling and he had to go after Shamsi. Shimmies down the wicket and is defeated in the flight, the ball dips on him and spins past his swinging blade, de Kock was blinded by Gaikwad but gloves the ball cleanly and takes the bails off. Gaikwad st de Kock b Shamsi 19(42) [4s-1] ",1
152," Shamsi to Gaikwad, no run, spinning in from good length, Gaikwad prods forward and ekes out an inside edge onto the pad ",0
153," Shamsi to Ishan Kishan, 1 run, tossed up close to off, Kishan goes for the reverse sweep and the ball lobs off the glove over the slip fielder, Malan runs back and puts in the dive but can't get a hand to it ",0
154," Shamsi to Gaikwad, 1 run, half tracker and Gaikwad misses out, pulls to wide long-on and it is only a single ",0
155," Maharaj to Ishan Kishan, no run, comes down the track but does not get to the pitch of the ball, misses the flick and it lobs off the pad into the leg-side. Another tidy over from Maharaj (left-arm spinner) and he really has kept a lid on Kishan (left hander batter). Match ups anyone? ",0
156," Maharaj to Ishan Kishan, no run, worked with the spin to mid-wicket ",0
157," Maharaj to Ishan Kishan, no run, smart bowling from Maharaj. Kishan thought about stepping out but the length was dragged back and the ball spins in sharply, Kishan lunges forward and is hit on the glove as he tries to defend ",0
158," Maharaj to Ishan Kishan, no run, flighted and spinning in, Kishan prods forward and blocks it back ",0
159," Maharaj to Gaikwad, 1 run, short and turning away big, Gaikwad reaches and chops it square on the off-side ",0
160," Maharaj to Gaikwad, no run, tossed up around off, Gaikwad presses forward and defends it back ",0
161," Ngidi to Ishan Kishan, no run, direct hit and Gaikwad was gone. Kishan sold him down the river there. Good length ball around off, Kishan drops it with soft hands in front of cover and calls for a single, Gaikwad responds and is halfway down when he was sent back, Maharaj's throw is not on target at the bowler's end and Gaikwad survives ",0
162," Ngidi to Ishan Kishan, no run, back of a length but with a bit of extra bounce, Kishan was hopping to tuck it into the leg-side but gets a soft leading edge back to Ngidi ",0
163," Ngidi to Ishan Kishan, FOUR, now Kishan lays into Ngidi. Fraction short and there was width for Kishan to capitalize, he rolls his wrists nicely on top of the cut shot and places it square on the off-side - bisecting backward point and cover-point perfectly ",1
164," Ngidi to Ishan Kishan, no run, 133.9ks good length ball on off, Kishan hangs back and bunts it to cover ",0
165," Ngidi to Gaikwad, 1 run, angled in, Gaikwad takes a step down and flickcs it to deep mid-wicket ",0
166," Ngidi to Gaikwad, FOUR, is that the release Gaikwad and India were looking for? Short and wide outside off, Gaikwad makes a bit of room and cuts it over backward point, one bounce and over the ropes ",1
167," Maharaj to Ishan Kishan, no run, drifts it in with the angle, Kishan camps back and blocks it down the pitch ",0
168," Maharaj to Ishan Kishan, no run, slides it across the left hander, Kishan tries the cheeky late cut and is beaten on the outside edge ",0
169," Maharaj to Ishan Kishan, no run, flatter and turning in, Kishan sits back and knocks it to the left of Maharaj ",0
170," Maharaj to Gaikwad, 1 run, drifts in with the arm, Gaikwad keeps his bat and pad close before stabbing it into the off-side ",0
171," Maharaj to Ishan Kishan, 1 run, fraction short and Kishan goes for the pull, but the ball turns in and takes the toe-end over mid-wicket, bit of confusion between the pair and they don't get the second run ",0
172," Maharaj to Ishan Kishan, no run, tossed up outside off, Kishan shuffles back and across to defend ",0
173," Ngidi to Gaikwad, 2 runs, 132ks short and wide, Gaikwad hops and slashes it to the left of sweeper cover ",0
174," Ngidi to Gaikwad, no run, looks to pull a skiddy 134ks back of a length delivery and gets a thick leading edge that knocks him around the bicep ",0
175," Ngidi to Ishan Kishan, 1 run, hangs back and steers the 132ks length delivery square of third man ",0
176," Ngidi to Gaikwad, 1 run, shuffles down the track and opens the bat face to guide a back of a length delivery down to third man ",0
177," Ngidi to Gaikwad, no run, 133ks short of length on and around off-stump, Gaikwad drops it on the leg-side with soft hands ",0
178," Ngidi to Gaikwad, no run, full and swinging in towards off at 135ks, Gaikwad pushes the drive straight back to the bowler ",0
179," Maharaj to Gaikwad, 1 run, lets the ball spin and opens the bat face to punch it square to the left of sweeper cover ",0
180," Maharaj to Gaikwad, no run, tries to drive at a full floater outside off and gets beaten on the outside edge yet again ",0
181," Maharaj to Gaikwad, no run, fuller and spins away outside off, Gaikwad looks to block off the front foot and gets beaten on the outside edge ",0
182," Maharaj to Gaikwad, no run, fuller and turning away outside off, Gaikwad prods across and shoulders arms ",0
183," Maharaj to Ishan Kishan, 1 run, allows the ball to drift in and works it off his pads square on the leg-side ",0
184," Maharaj to Ishan Kishan, wide, another delivery that spins down the leg-side and QDK has appealed for a stumping. Looks like Ishan Kishan has lifted his back foot for a fleeting moment, but he's got it back just in the nick of time. Nothing on the UtraEdge as well. Not out. ",0
185," Maharaj to Ishan Kishan, no run, looks for a late dab outside off and finds backward point ",0
186," Maharaj to Ishan Kishan, wide, slower and massive turn down the leg-side, Ishan Kishan hangs back and lets it pass ",0
187," Ngidi to Ishan Kishan, 1 run, 137ks back of a length at the hip, worked away down to fine leg for an easy single ",0
188," Ngidi to Ishan Kishan, no run, opens the bat face and stabs the length delivery towards the slip cordon ",0
189," Ngidi to Gaikwad, 1 run, opens the bat face and steers the back of a length delivery down to third man ",0
190," Ngidi to Gaikwad, no run, 132ks short of length delivery outside off, Gaikwad hops on the back foot and drops it on the off-side ",0
191," Ngidi to Gaikwad, no run, full and swings in at 133ks around off, Gaikwad covers his off-stump and smothers into the off-side ",0
192," Ngidi to Gaikwad, no run, good length swinging in towards off at 135ks, Gaikwad is happy to push it back to the bowler with soft hands ",0
193," Maharaj to Ishan Kishan, no run, hangs back and bunts the quicker delivery into the off-side ",0
194," Maharaj to Gaikwad, 1 run, opens the bat face and dabs the flatter delivery behind square on the off-side ",0
195," Maharaj to Gaikwad, no run, this one grips and turns just outside off, lures Gaikwad into a poke and beats the outside edge ",0
196," Maharaj to Ishan Kishan, 1 run, advances and biffs the full delivery straight back at the bowler who deflects it off his palm towards long-on ",0
197," Maharaj to Ishan Kishan, no run, appeal for caught behind. The umpires are having a conflab and the soft signal is not out. They are going to check for the bump ball. The replays are in and it has clearly bounced off the ground. Ishan Kishan went on the front foot looking for a booming drive and got a thick inside edge that deflected off the ground, onto the boot and then into the gloves of QDK ",0
198," Maharaj to Gaikwad, 1 run, full and attacking the stumps, Gaikwad eases the drive to long-off ",0
199," Rabada to Ishan Kishan, no run, 141ks back of a length just outside off, Ishan Kishan gets a touch squared up on the back foot defence as the ball rolls to backward point ",0
200," Rabada to Gaikwad, 3 runs, opens the bat face and crisply punch-drives the length delivery in the gap between backward point and cover. Klaasen gives chase and manages to pull the ball back inches inside the boundary ropes ",0
201," Rabada to Gaikwad, no run, swings in from a good length towards off-stump at 139ks, Gaikwad is happy to bunt it down with soft hands ",0
202," Rabada to Gaikwad, no run, advances and pokes late at 138ks inswinger, past the outside edge yet again ",0
203," Rabada to Gaikwad, no run, bumper on the stumps, Gaikwad swivels and can't lay bat on the pull ",0
204," Rabada to Gaikwad, no run, 138ks skiddy length delivery on middle and leg, Gaikwad looks to tuck into the leg-side and gets beaten by the movement. Hit high on the front pad... ",0
205," Parnell to Ishan Kishan, no run, swings away well wide of off at 132ks, Ishan Kishan goes chasing on the drive but fails to get bat on ball ",0
